"RK","Player","Team","Position","Derek BrownDerek Brown on X
                                            
                                            07/06/26","Andrew EricksonAndrew Erickson on X
                                            
                                            07/10/26","Pat FitzmauricePat Fitzmaurice on X
                                            
                                            07/07/26"
"1","Josh Allen
                                            
                                            
                                                ","BUF ","QB","1","2","1"
"2","Drake Maye
                                            
                                            
                                                ","NE ","QB","2","1","3"
"3","Lamar Jackson
                                            
                                            
                                                ","BAL ","QB","5","3","2"
"4","Joe Burrow
                                            
                                            
                                                ","CIN ","QB","4","5","9"
"5","Ja'Marr Chase
                                            
                                            
                                                ","CIN ","WR","6","6","6"
"6","Jayden Daniels
                                            
                                            
                                                ","WAS ","QB","9","4","8"
"7","Bijan Robinson
                                            
                                            
                                                ","ATL ","RB","10","13","4"
"8","Jahmyr Gibbs
                                            
                                            
                                                ","DET ","RB","13","10","5"
"9","Puka Nacua
                                            
                                            
                                                ","LAR ","WR","11","11","7"
"10","Jalen Hurts
                                            
                                            
                                                ","PHI ","QB","3","16","15"
"11","Jaxon Smith-Njigba
                                            
                                            
                                                ","SEA ","WR","12","12","10"
"12","Justin Herbert
                                            
                                            
                                                ","LAC ","QB","19","7","12"
"13","Amon-Ra St. Brown
                                            
                                            
                                                ","DET ","WR","14","14","11"
"14","Trevor Lawrence
                                            
                                            
                                                ","JAC ","QB","18","9","14"
"15","Dak Prescott
                                            
                                            
                                                ","DAL ","QB","7","19","19"
"16","Caleb Williams
                                            
                                            
                                                ","CHI ","QB","26","8","13"
"17","Jaxson Dart
                                            
                                            
                                                ","NYG ","QB","8","17","23"
"18","Brock Purdy
                                            
                                            
                                                ","SF ","QB","16","18","16"
"19","James Cook III
                                            
                                            
                                                ","BUF ","RB","22","15","20"
"20","CeeDee Lamb
                                            
                                            
                                                ","DAL ","WR","21","24","22"
"21","Drake London
                                            
                                            
                                                ","ATL ","WR","23","23","26"
"22","A.J. Brown
                                            
                                            
                                                ","NE ","WR","20","20","35"
"23","Justin Jefferson
                                            
                                            
                                                ","MIN ","WR","35","21","21"
"24","Christian McCaffrey
                                            
                                            
                                                ","SF ","RB","15","46","17"
"25","Jonathan Taylor
                                            
                                            
                                                ","IND ","RB","40","22","24"
"26","Chase Brown
                                            
                                            
                                                ","CIN ","RB","25","25","37"
"27","Nico Collins
                                            
                                            
                                                ","HOU ","WR","24","28","36"
"28","Patrick Mahomes II
                                            
                                            
                                                ","KC ","QB","32","29","30"
"29","Ashton Jeanty
                                            
                                            
                                                ","LV ","RB","46","33","18"
"30","Bo Nix
                                            
                                            
                                                ","DEN ","QB","38","26","33"
"31","Brock Bowers
                                            
                                            
                                                ","LV ","TE","31","39","28"
"32","George Pickens
                                            
                                            
                                                ","DAL ","WR","27","34","39"
"33","Omarion Hampton
                                            
                                            
                                                ","LAC ","RB","33","37","31"
"34","Kenneth Walker III
                                            
                                            
                                                ","KC ","RB","42","42","25"
"35","Malik Willis
                                            
                                            
                                                ","MIA ","QB","30","38","46"
"36","De'Von Achane
                                            
                                            
                                                ","MIA ","RB","48","40","29"
"37","Jared Goff
                                            
                                            
                                                ","DET ","QB","17","50","51"
"38","Jordan Love
                                            
                                            
                                                ","GB ","QB","41","32","45"
"39","Kyler Murray
                                            
                                            
                                                ","MIN ","QB","55","30","34"
"40","Chris Olave
                                            
                                            
                                                ","NO ","WR","36","43","40"
"41","Trey McBride
                                            
                                            
                                                ","ARI ","TE","47","31","44"
"42","Zay Flowers
                                            
                                            
                                                ","BAL ","WR","51","35","42"
"43","Matthew Stafford
                                            
                                            
                                                ","LAR ","QB","50","55","27"
"44","DeVonta Smith
                                            
                                            
                                                ","PHI ","WR","34","44","57"
"45","Colston Loveland
                                            
                                            
                                                ","CHI ","TE","39","47","50"
"46","Saquon Barkley
                                            
                                            
                                                ","PHI ","RB","58","48","32"
"47","Tyler Shough
                                            
                                            
                                                ","NO ","QB","29","56","56"
"48","Jeremiyah Love
                                            
                                            
                                                ","ARI ","RB","49","54","38"
"49","Rashee Rice
                                            
                                            
                                                ","KC ","WR","57","27","61"
"50","Tetairoa McMillan
                                            
                                            
                                                ","CAR ","WR","69","36","41"
"51","Jaylen Waddle
                                            
                                            
                                                ","DEN ","WR","28","53","68"
"52","Baker Mayfield
                                            
                                            
                                                ","TB ","QB","56","41","55"
"53","Terry McLaurin
                                            
                                            
                                                ","WAS ","WR","45","59","49"
"54","Javonte Williams
                                            
                                            
                                                ","DAL ","RB","37","49","69"
"55","Garrett Wilson
                                            
                                            
                                                ","NYJ ","WR","44","45","66"
"56","Tee Higgins
                                            
                                            
                                                ","CIN ","WR","43","57","62"
"57","Emeka Egbuka
                                            
                                            
                                                ","TB ","WR","52","52","58"
"58","Breece Hall
                                            
                                            
                                                ","NYJ ","RB","54","58","52"
"59","Derrick Henry
                                            
                                            
                                                ","BAL ","RB","61","65","43"
"60","Kyren Williams
                                            
                                            
                                                ","LAR ","RB","65","69","47"
"61","Ladd McConkey
                                            
                                            
                                                ","LAC ","WR","72","51","65"
"62","Travis Etienne Jr.
                                            
                                            
                                                ","NO ","RB","74","61","54"
"63","Cam Ward
                                            
                                            
                                                ","TEN ","QB","64","64","64"
"64","Malik Nabers
                                            
                                            
                                                ","NYG ","WR","59","62","72"
"65","Josh Jacobs
                                            
                                            
                                                ","GB ","RB","77","74","48"
"66","C.J. Stroud
                                            
                                            
                                                ","HOU ","QB","76","60","63"
