"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS ADP"
"1",1,"Aidan Hutchinson",DET,"DE1","25","1","2","1.3","0.5","-"
"2",1,"Will Anderson Jr.",HOU,"DE2","24","1","2","1.7","0.5","-"
"3",1,"Jack Campbell",DET,"LB1","25","3","12","6.7","3.9","-"
"4",1,"Roquan Smith",BAL,"LB2","29","5","10","7.0","2.2","-"
"5",2,"Fred Warner",SF,"LB3","29","6","18","10.3","5.4","-"
"6",2,"Nick Bolton",KC,"LB4","26","14","15","14.7","0.5","-"
"7",2,"Edgerrin Cooper",GB,"LB5","24","14","19","16.7","2.0","-"
"8",2,"Jordyn Brooks",MIA,"LB6","28","7","34","18.0","11.6","-"
"9",3,"Foyesade Oluokun",JAC,"LB7","30","9","31","19.3","9.0","-"
"10",3,"Nick Bosa",SF,"DE3","28","3","48","21.3","19.3","-"
"11",3,"Zack Baun",PHI,"LB8","29","20","27","23.3","2.9","-"
"12",3,"Carson Schwesinger",CLE,"LB9","23","4","65","25.3","28.1","-"
"13",3,"T.J. Edwards",CHI,"LB10","29","16","43","25.7","12.3","-"
"14",3,"Zaire Franklin",GB,"LB11","30","9","53","27.3","18.7","-"
"15",3,"Quincy Williams",CLE,"LB12","29","13","42","27.3","11.8","-"
"16",4,"Kyle Hamilton",BAL,"S1","25","21","47","32.3","10.9","-"
"17",4,"Nakobe Dean",LV,"LB13","25","24","40","33.0","6.7","-"
"18",4,"Blake Cashman",MIN,"LB14","30","26","44","35.0","7.3","-"
"19",4,"Jamien Sherwood",NYJ,"LB15","26","21","52","35.3","12.8","-"
"20",4,"Dre Greenlaw",SF,"LB16","29","34","39","36.7","2.0","-"
"21",4,"Myles Garrett",LAR,"DE4","30","4","5","4.5","0.5","-"
"22",4,"Maxx Crosby",LV,"DE5","28","4","6","5.0","1.0","-"
"23",4,"Brian Branch",DET,"S2","24","36","46","40.3","4.2","-"
"24",5,"Laiatu Latu",IND,"DE6","25","11","21","16.0","5.0","-"
"25",5,"Tremaine Edmunds",NYG,"LB17","28","23","60","46.0","16.4","-"
"26",5,"Payton Wilson",PIT,"LB18","26","37","63","46.3","11.8","-"
"27",5,"Quay Walker",LV,"LB19","26","16","125","53.3","50.7","-"
"28",5,"Ernest Jones IV",SEA,"LB20","26","15","26","20.5","5.5","-"
"29",5,"Nate Landman",LAR,"LB21","27","16","25","20.5","4.5","-"
"30",5,"Nick Emmanwori",SEA,"S3","22","22","83","49.3","25.3","-"
